"X2","code","騰落率","リスク（標準偏差）","シャープレシオ"
"10年","JP90C00091E7",NA,NA,NA
"6ヶ月","JP90C00095F5",-9.74,18,-1.05
"1年","JP90C00095F5",-1.76,15.04,-0.05
"3年","JP90C00095F5",40.18,17.46,0.74
"5年","JP90C00095F5",54.24,15.65,0.64
"10年","JP90C00095F5",NA,NA,NA
"6ヶ月","JP90C0009ER8",7.12,17.9,0.85
"1年","JP90C0009ER8",13.39,13.44,1
"3年","JP90C0009ER8",60.02,18.18,0.96
"5年","JP90C0009ER8",93.75,17.05,0.87
"10年","JP90C0009ER8",NA,NA,NA
"6ヶ月","JP90C0009L03",2.05,14.82,0.34
"1年","JP90C0009L03",6.51,11.69,0.6
"3年","JP90C0009L03",32.29,14.55,0.72
"5年","JP90C0009L03",39.92,12.76,0.6
"10年","JP90C0009L03",NA,NA,NA
"6ヶ月","JP90C0009L37",-5.96,10.43,-1.13
"1年","JP90C0009L37",-3.16,8.39,-0.34
"3年","JP90C0009L37",14.47,11.21,0.46
"5年","JP90C0009L37",21.9,9.49,0.47
"10年","JP90C0009L37",NA,NA,NA
"6ヶ月","JP90C0009VE0",1.41,21.65,0.22
"1年","JP90C0009VE0",12.7,16.67,0.8
"3年","JP90C0009VE0",70.26,18.44,1.06
"5年","JP90C0009VE0",90.44,17.21,0.84
"10年","JP90C0009VE0",NA,NA,NA
"6ヶ月","JP90C000A0B8",0.29,12.57,0.1
"1年","JP90C000A0B8",1.15,11.41,0.15
"3年","JP90C000A0B8",35.8,15.32,0.74
"5年","JP90C000A0B8",35.73,14.9,0.49
"10年","JP90C000A0B8",NA,NA,NA
"6ヶ月","JP90C000A808",0.33,12.61,0.11
"1年","JP90C000A808",1.14,11.44,0.15
"3年","JP90C000A808",35.79,15.32,0.74
"5年","JP90C000A808",35.59,14.91,0.49
"10年","JP90C000A808",NA,NA,NA
"6ヶ月","JP90C000A9Q7",0.26,12.59,0.1
"1年","JP90C000A9Q7",1.02,11.41,0.14
"3年","JP90C000A9Q7",35.66,15.32,0.74
"5年","JP90C000A9Q7",35.35,14.91,0.48
"10年","JP90C000A9Q7",NA,NA,NA
"6ヶ月","JP90C000ADD2",-7.7,10.21,-1.51
"1年","JP90C000ADD2",-4.69,8.02,-0.56
"3年","JP90C000ADD2",15.46,9.28,0.57
"5年","JP90C000ADD2",18.67,8.73,0.44
"10年","JP90C000ADD2",NA,NA,NA
"6ヶ月","JP90C000AYS6",0.5,20.55,0.13
"1年","JP90C000AYS6",6.75,14.57,0.52
"3年","JP90C000AYS6",51.01,17.17,0.89
"5年","JP90C000AYS6",63.2,16.33,0.69
"10年","JP90C000AYS6",NA,NA,NA
"6ヶ月","JP90C000B9U8",0.41,12.6,0.12
"1年","JP90C000B9U8",1.3,11.43,0.17
"3年","JP90C000B9U8",35.89,15.27,0.75
"5年","JP90C000B9U8",35.2,14.88,0.48
"10年","JP90C000B9U8",NA,NA,NA
"6ヶ月","JP90C000BRT6",0.54,12.05,0.14
"1年","JP90C000BRT6",1.65,10.99,0.2
"3年","JP90C000BRT6",35.06,14.99,0.75
"5年","JP90C000BRT6",35.63,14.72,0.49
"10年","JP90C000BRT6",NA,NA,NA
"6ヶ月","JP90C000C7B1",0.06,9.9,0.06
"1年","JP90C000C7B1",3.39,7.22,0.5
"3年","JP90C000C7B1",28.49,7.95,1.1
"5年","JP90C000C7B1",34.34,7.86,0.8
"10年","JP90C000C7B1",NA,NA,NA
"6ヶ月","JP90C000C838",-4.88,13.75,-0.67
"1年","JP90C000C838",-2.89,10.19,-0.24
"3年","JP90C000C838",18.22,13.79,0.48
"5年","JP90C000C838",21.68,11.94,0.39
"10年","JP90C000C838",NA,NA,NA
"6ヶ月","JP90C000C8G8",0.01,9.89,0.05
"1年","JP90C000C8G8",3.16,7.21,0.47
"3年","JP90C000C8G8",26.43,8.05,1.02
"5年","JP90C000C8G8",31.66,7.92,0.74
"10年","JP90C000C8G8",NA,NA,NA
"6ヶ月","JP90C000CG01",2.52,14.16,0.41
"1年","JP90C000CG01",7.41,10.67,0.72
"3年","JP90C000CG01",40.02,11.95,1
"5年","JP90C000CG01",47.87,11.23,0.76
"10年","JP90C000CG01",NA,NA,NA
"6ヶ月","JP90C000CJS3",-1.5,16.34,-0.12
"1年","JP90C000CJS3",3.52,11.64,0.35
"3年","JP90C000CJS3",37.94,13.84,0.85
"5年","JP90C000CJS3",47.34,13.17,0.66
"10年","JP90C000CJS3",NA,NA,NA
"6ヶ月","JP90C000CMF4",-0.96,15.72,-0.06
"1年","JP90C000CMF4",-3.9,14.25,-0.21
"3年","JP90C000CMF4",39.25,17.15,0.73
"5年","JP90C000CMF4",51.02,16.55,0.58
"10年","JP90C000CMF4",NA,NA,NA
"6ヶ月","JP90C000CMK4",1.44,21.7,0.22
"1年","JP90C000CMK4",12.75,16.7,0.8
"3年","JP90C000CMK4",70.21,18.47,1.06
"5年","JP90C000CMK4",90.37,17.24,0.84
"10年","JP90C000CMK4",NA,NA,NA
"6ヶ月","JP90C000CZ57",-1.5,10.68,-0.24
"1年","JP90C000CZ57",-7.63,11.74,-0.62
"3年","JP90C000CZ57",28.04,19.88,0.52
"5年","JP90C000CZ57",27.82,18.64,0.36
"10年","JP90C000CZ57",NA,NA,NA
"6ヶ月","JP90C000D1X7",-0.75,5.84,-0.23
"1年","JP90C000D1X7",0.83,4.31,0.22
"3年","JP90C000D1X7",11.28,4.23,0.87
"5年","JP90C000D1X7",14.88,3.96,0.73
"10年","JP90C000D1X7",NA,NA,NA
"6ヶ月","JP90C000D1Y5",-0.02,8.4,0.03
"1年","JP90C000D1Y5",2.12,6.22,0.37
"3年","JP90C000D1Y5",19.42,7.37,0.85
"5年","JP90C000D1Y5",24.3,6.74,0.69
"10年","JP90C000D1Y5",NA,NA,NA
"6ヶ月","JP90C000D1Z2",0.63,10.57,0.16
"1年","JP90C000D1Z2",3.19,7.93,0.44
"3年","JP90C000D1Z2",26.42,10.32,0.81
"5年","JP90C000D1Z2",32.58,9.38,0.65
"10年","JP90C000D1Z2",NA,NA,NA
"6ヶ月","JP90C000D208",1.37,13.78,0.26
"1年","JP90C000D208",4.66,10.39,0.49
"3年","JP90C000D208",36.43,13.93,0.82
"5年","JP90C000D208",43.96,12.64,0.65
"10年","JP90C000D208",NA,NA,NA
"6ヶ月","JP90C000D216",0.61,14.31,0.15
"1年","JP90C000D216",2.88,11.13,0.31
"3年","JP90C000D216",43.39,15.41,0.86
"5年","JP90C000D216",48.67,14.73,0.62
"10年","JP90C000D216",NA,NA,NA
"6ヶ月","JP90C000D3K0",-9.94,25.12,-0.72
"1年","JP90C000D3K0",-0.03,19.8,0.09
"3年","JP90C000D3K0",65.05,19.43,0.96
"5年","JP90C000D3K0",84.8,17.98,0.78
"10年","JP90C000D3K0",NA,NA,NA
"6ヶ月","JP90C000DPW0",-0.93,15.68,-0.05
"1年","JP90C000DPW0",-3.98,14.24,-0.22
"3年","JP90C000DPW0",38.55,17.17,0.72
"5年","JP90C000DPW0",49.78,16.56,0.57
"10年","JP90C000DPW0",NA,NA,NA
"6ヶ月","JP90C000DVK3",-0.9,15.74,-0.05
"1年","JP90C000DVK3",-3.86,14.27,-0.21
"3年","JP90C000DVK3",39.73,17.15,0.74
"5年","JP90C000DVK3",51.97,16.54,0.59
"10年","JP90C000DVK3",NA,NA,NA
"6ヶ月","JP90C000DVL1",0.56,11.99,0.14
"1年","JP90C000DVL1",1.73,10.96,0.21
"3年","JP90C000DVL1",35.32,14.98,0.75
"5年","JP90C000DVL1",35.79,14.72,0.49
"10年","JP90C000DVL1",NA,NA,NA
"6ヶ月","JP90C000DVM9",0.39,12.59,0.12
"1年","JP90C000DVM9",1.42,11.45,0.18
"3年","JP90C000DVM9",36.83,15.33,0.76
"5年","JP90C000DVM9",37.26,14.93,0.5
"10年","JP90C000DVM9",NA,NA,NA
"6ヶ月","JP90C000DVN7",1.47,21.73,0.22
"1年","JP90C000DVN7",12.74,16.71,0.8
"3年","JP90C000DVN7",69.91,18.46,1.06
"5年","JP90C000DVN7",90.03,17.24,0.84
"10年","JP90C000DVN7",NA,NA,NA
"6ヶ月","JP90C000DVP2",7.33,17.92,0.87
"1年","JP90C000DVP2",13.87,13.45,1.03
"3年","JP90C000DVP2",62.12,18.19,0.98
"5年","JP90C000DVP2",98.04,17.07,0.89
"10年","JP90C000DVP2",NA,NA,NA
"6ヶ月","JP90C000DVR8",5.35,10.71,1.02
"1年","JP90C000DVR8",2.29,10.59,0.27
"3年","JP90C000DVR8",26.77,21.3,0.48
"5年","JP90C000DVR8",33.31,19.28,0.4
"10年","JP90C000DVR8",NA,NA,NA
"6ヶ月","JP90C000DVX6",1.88,10.94,0.39
"1年","JP90C000DVX6",4.03,8.36,0.51
"3年","JP90C000DVX6",25.9,11.63,0.72
"5年","JP90C000DVX6",34.2,10.17,0.64
"10年","JP90C000DVX6",NA,NA,NA
"6ヶ月","JP90C000DXE2",-9.6,17.86,-1.04
"1年","JP90C000DXE2",-1.41,14.98,-0.02
"3年","JP90C000DXE2",41.59,17.49,0.75
"5年","JP90C000DXE2",57.46,15.69,0.66
"10年","JP90C000DXE2",NA,NA,NA
"6ヶ月","JP90C000E6Z0",-0.95,15.75,-0.05
"1年","JP90C000E6Z0",-3.88,14.28,-0.21
"3年","JP90C000E6Z0",39.45,17.15,0.73
"5年","JP90C000E6Z0",51.66,16.55,0.59
"10年","JP90C000E6Z0",NA,NA,NA
"6ヶ月","JP90C000ENA9",0.51,12.02,0.14
"1年","JP90C000ENA9",1.69,10.95,0.21
"3年","JP90C000ENA9",35.21,14.98,0.75
"5年","JP90C000ENA9",35.83,14.72,0.49
"10年","JP90C000ENA9",NA,NA,NA
"6ヶ月","JP90C000ENC5",1.53,21.71,0.23
"1年","JP90C000ENC5",12.87,16.7,0.81
"3年","JP90C000ENC5",70.51,18.44,1.06
"5年","JP90C000ENC5",90.98,17.21,0.84
"10年","JP90C000ENC5",NA,NA,NA
"6ヶ月","JP90C000ERE2",0.51,12.02,0.14
"1年","JP90C000ERE2",1.67,10.96,0.2
"3年","JP90C000ERE2",35.03,14.98,0.75
"5年","JP90C000ERE2",35.57,14.72,0.49
"10年","JP90C000ERE2",NA,NA,NA
"6ヶ月","JP90C000EWV6",1.36,11.15,0.29
"1年","JP90C000EWV6",3.13,8.59,0.4
"3年","JP90C000EWV6",27.65,11.38,0.78
"5年","JP90C000EWV6",35.6,10.1,0.66
"10年","JP90C000EWV6",NA,NA,NA
"6ヶ月","JP90C000F3F8",-1.19,3.46,-0.67
"1年","JP90C000F3F8",-0.28,2.6,-0.09
"3年","JP90C000F3F8",5.92,2.42,0.82
"5年","JP90C000F3F8",NA,NA,NA
"10年","JP90C000F3F8",NA,NA,NA
"6ヶ月","JP90C000F7A0",-0.42,11.28,-0.03
"1年","JP90C000F7A0",2.16,8.69,0.29
"3年","JP90C000F7A0",26.61,10.75,0.79
"5年","JP90C000F7A0",NA,NA,NA
"10年","JP90C000F7A0",NA,NA,NA
"6ヶ月","JP90C000F7H5",-0.93,10.45,-0.13
"1年","JP90C000F7H5",-6.88,11.56,-0.56
"3年","JP90C000F7H5",32.78,19.52,0.59
"5年","JP90C000F7H5",NA,NA,NA
"10年","JP90C000F7H5",NA,NA,NA
"6ヶ月","JP90C000F8D2",0.61,10.52,0.16
"1年","JP90C000F8D2",1.61,8.48,0.23
"3年","JP90C000F8D2",31.11,10.91,0.89
"5年","JP90C000F8D2",NA,NA,NA
"10年","JP90C000F8D2",NA,NA,NA
"6ヶ月","JP90C000F8E0",0.48,12.01,0.13
"1年","JP90C000F8E0",1.64,10.95,0.2
"3年","JP90C000F8E0",35.02,14.97,0.75
"5年","JP90C000F8E0",NA,NA,NA
"10年","JP90C000F8E0",NA,NA,NA
"6ヶ月","JP90C000F8F7",1.46,21.71,0.22
"1年","JP90C000F8F7",12.73,16.7,0.8
"3年","JP90C000F8F7",69.91,18.44,1.06
"5年","JP90C000F8F7",NA,NA,NA
"10年","JP90C000F8F7",NA,NA,NA
"6ヶ月","JP90C000F8G5",-1.02,10.44,-0.15
"1年","JP90C000F8G5",-7.06,11.55,-0.58
"3年","JP90C000F8G5",32.09,19.51,0.58
"5年","JP90C000F8G5",NA,NA,NA
"10年","JP90C000F8G5",NA,NA,NA
"6ヶ月","JP90C000F8H3",1.32,11.11,0.28
"1年","JP90C000F8H3",3.05,8.57,0.39
"3年","JP90C000F8H3",27.19,11.43,0.76
"5年","JP90C000F8H3",NA,NA,NA
"10年","JP90C000F8H3",NA,NA,NA
"6ヶ月","JP90C000F8K7",0.45,13.34,0.12
"1年","JP90C000F8K7",2.7,10.7,0.3
"3年","JP90C000F8K7",40.92,14.07,0.89
"5年","JP90C000F8K7",NA,NA,NA
"10年","JP90C000F8K7",NA,NA,NA
