"code","value","type","inves","購入時手数料（上限）","信託財産留保額","運用管理費用（信託報酬）"
"JP90C000EWV6","ｅＭＡＸＩＳ　Ｓｌｉｍバランス（８資産均等型）","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.14000%"
"JP90C000F3F8","ＤＣニッセイワールドセレクトファンド（安定型）","追加型/内外/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C000F7A0","たわらノーロードバランス（８資産均等型）","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.22000%"
"JP90C000F7H5","ｅＭＡＸＩＳ　Ｓｌｉｍ新興国株式インデックス","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.17000%"
"JP90C000F8D2","ＳＭＴ世界経済インデックス・オープン","追加型/内外/資産複合","三井住友トラスト・アセットマネジメント","1.80%以内","外枠0.5％未満","0.50000%"
"JP90C000F8E0","つみたて日本株式（ＴＯＰＩＸ）","追加型/国内/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.18000%"
"JP90C000F8F7","つみたて先進国株式","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.20000%"
"JP90C000F8G5","つみたて新興国株式","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.34000%"
"JP90C000F8H3","つみたて８資産均等バランス","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.22000%"
"JP90C000F8K7","ＳＭＴ世界経済インデックス・オープン（株式シフト型）","追加型/内外/資産複合","三井住友トラスト・アセットマネジメント","1.80%以内","外枠0.5％未満","0.55000%"
"JP90C000F8L5","ＳＭＴ世界経済インデックス・オープン（債券シフト型）","追加型/内外/資産複合","三井住友トラスト・アセットマネジメント","1.80%以内","外枠0.5％未満","0.45000%"
"JP90C000F8M3","つみたて日本株式（日経平均）","追加型/国内/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.18000%"
"JP90C000F8N1","つみたて先進国株式（為替ヘッジあり）","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.20000%"
"JP90C000F8P6","つみたて４資産均等バランス","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.22000%"
"JP90C000F8Q4","ＳＭＴ８資産インデックスバランス・オープン","追加型/内外/資産複合","三井住友トラスト・アセットマネジメント","1.80%以内","外枠0.5％未満","0.50000%"
"JP90C000F9E8","Ｓｍａｒｔ－ｉ　ＴＯＰＩＸインデックス","追加型/国内/株式","りそなアセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C000F9G3","Ｓｍａｒｔ－ｉ先進国株式インデックス","追加型/海外/株式","りそなアセットマネジメント","0.00%","外枠なし","0.20000%"
"JP90C000F9K5","Ｓｍａｒｔ－ｉ新興国株式インデックス","追加型/海外/株式","りそなアセットマネジメント","0.00%","外枠なし","0.34000%"
"JP90C000F9M1","Ｓｍａｒｔ－ｉ日経２２５インデックス","追加型/国内/株式","りそなアセットマネジメント","0.00%","外枠なし","0.17000%"
"JP90C000FBV7","全世界株式インデックス・ファンド","追加型/内外/株式","ステート・ストリート・グローバル・アドバイザーズ","0.00%","外枠0.5％未満","0.48000%"
