"code","期間","騰落率","リスク（標準偏差）","シャープレシオ"
"JP90C000F7A0","5年",NA,NA,NA
"JP90C000F7A0","10年",NA,NA,NA
"JP90C000F7H5","6ヶ月",-0.93,10.45,-0.13
"JP90C000F7H5","1年",-6.88,11.56,-0.56
"JP90C000F7H5","3年",32.78,19.52,0.59
"JP90C000F7H5","5年",NA,NA,NA
"JP90C000F7H5","10年",NA,NA,NA
"JP90C000F8D2","6ヶ月",0.61,10.52,0.16
"JP90C000F8D2","1年",1.61,8.48,0.23
"JP90C000F8D2","3年",31.11,10.91,0.89
"JP90C000F8D2","5年",NA,NA,NA
"JP90C000F8D2","10年",NA,NA,NA
"JP90C000F8E0","6ヶ月",0.48,12.01,0.13
"JP90C000F8E0","1年",1.64,10.95,0.2
"JP90C000F8E0","3年",35.02,14.97,0.75
"JP90C000F8E0","5年",NA,NA,NA
"JP90C000F8E0","10年",NA,NA,NA
"JP90C000F8F7","6ヶ月",1.46,21.71,0.22
"JP90C000F8F7","1年",12.73,16.7,0.8
"JP90C000F8F7","3年",69.91,18.44,1.06
"JP90C000F8F7","5年",NA,NA,NA
"JP90C000F8F7","10年",NA,NA,NA
"JP90C000F8G5","6ヶ月",-1.02,10.44,-0.15
"JP90C000F8G5","1年",-7.06,11.55,-0.58
"JP90C000F8G5","3年",32.09,19.51,0.58
"JP90C000F8G5","5年",NA,NA,NA
"JP90C000F8G5","10年",NA,NA,NA
"JP90C000F8H3","6ヶ月",1.32,11.11,0.28
"JP90C000F8H3","1年",3.05,8.57,0.39
"JP90C000F8H3","3年",27.19,11.43,0.76
"JP90C000F8H3","5年",NA,NA,NA
"JP90C000F8H3","10年",NA,NA,NA
"JP90C000F8K7","6ヶ月",0.45,13.34,0.12
"JP90C000F8K7","1年",2.7,10.7,0.3
"JP90C000F8K7","3年",40.92,14.07,0.89
"JP90C000F8K7","5年",NA,NA,NA
"JP90C000F8K7","10年",NA,NA,NA
"JP90C000F8L5","6ヶ月",0.71,7.69,0.22
"JP90C000F8L5","1年",0.52,6.27,0.11
"JP90C000F8L5","3年",20.53,7.93,0.83
"JP90C000F8L5","5年",NA,NA,NA
"JP90C000F8L5","10年",NA,NA,NA
"JP90C000F8M3","6ヶ月",-0.94,15.73,-0.05
"JP90C000F8M3","1年",-3.9,14.25,-0.21
"JP90C000F8M3","3年",39.28,17.14,0.73
"JP90C000F8M3","5年",NA,NA,NA
"JP90C000F8M3","10年",NA,NA,NA
"JP90C000F8N1","6ヶ月",-9.54,17.89,-1.03
"JP90C000F8N1","1年",-1.44,14.96,-0.03
"JP90C000F8N1","3年",41.06,17.42,0.75
"JP90C000F8N1","5年",NA,NA,NA
"JP90C000F8N1","10年",NA,NA,NA
"JP90C000F8P6","6ヶ月",0.18,9.88,0.08
"JP90C000F8P6","1年",3.49,7.21,0.51
"JP90C000F8P6","3年",27.55,8.07,1.05
"JP90C000F8P6","5年",NA,NA,NA
"JP90C000F8P6","10年",NA,NA,NA
"JP90C000F8Q4","6ヶ月",1.48,11.68,0.3
"JP90C000F8Q4","1年",3.47,8.97,0.42
"JP90C000F8Q4","3年",26.93,11.63,0.75
"JP90C000F8Q4","5年",NA,NA,NA
"JP90C000F8Q4","10年",NA,NA,NA
"JP90C000F9E8","6ヶ月",0.49,11.99,0.13
"JP90C000F9E8","1年",1.65,10.94,0.2
"JP90C000F9E8","3年",34.92,14.97,0.74
"JP90C000F9E8","5年",NA,NA,NA
"JP90C000F9E8","10年",NA,NA,NA
"JP90C000F9G3","6ヶ月",1.38,21.76,0.22
"JP90C000F9G3","1年",12.75,16.73,0.8
"JP90C000F9G3","3年",69.89,18.45,1.06
"JP90C000F9G3","5年",NA,NA,NA
"JP90C000F9G3","10年",NA,NA,NA
"JP90C000F9K5","6ヶ月",-1.24,10.75,-0.18
