"code","fund","fundcode","インデックス型","設定日","償還日","償還までの期間","決算頻度","決算日","目論見書/運用報告書","解約手数料","type","inves","購入時手数料（上限）","信託財産留保額","運用管理費用（信託報酬）"
"JP90C000B9U8","＜購入・換金手数料なし＞ニッセイＪＰＸ日経４００インデックスファンド","29313151","インデックス型","2015/01/29","無期限","無期限","年1回","11/20","目論見書 運用報告書","外枠なし","追加型/国内/株式","ニッセイアセットマネジメント","0.00%","外枠なし","0.19500%"
"JP90C000BRT6","＜購入・換金手数料なし＞ニッセイＴＯＰＩＸインデックスファンド","29312154","インデックス型","2015/04/27","無期限","無期限","年1回","02/20","目論見書 運用報告書","外枠なし","追加型/国内/株式","ニッセイアセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C000C7B1","＜購入・換金手数料なし＞ニッセイ・インデックスバランスファンド（４資産均等型）","29313158","インデックス型","2015/08/27","無期限","無期限","年1回","11/20","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C000C838","ＨＳＢＣワールド・セレクション（成長コース）","51313159","該当なし","2015/09/25","2045/08/17","23年2ヶ月","年1回","08/19","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ＨＳＢＣアセットマネジメント","1.20%以内","外枠なし","1.13000%"
"JP90C000C8G8","ｅＭＡＸＩＳバランス（４資産均等型）","03316158","インデックス型","2015/08/27","無期限","無期限","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.50000%"
"JP90C000CG01","ＬＯＳＡ長期保有型国際分散インデックスファンド","9731415C","該当なし","2015/12/28","無期限","無期限","年1回","12/05","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ＰａｙＰａｙアセットマネジメント","0.00%","外枠なし","0.48500%"
"JP90C000CJS3","フィデリティ・ターゲット・デート・ファンド（ベーシック）２０４０","3231315C","該当なし","2015/12/07","2041/09/25","19年3ヶ月","年1回","09/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","フィデリティ投信","1.00%以内","外枠なし","0.26600%"
"JP90C000CMF4","たわらノーロード日経２２５","4731815C","インデックス型","2015/12/07","無期限","無期限","年1回","10/12","目論見書 運用報告書","外枠なし","追加型/国内/株式","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.17000%"
"JP90C000CMK4","たわらノーロード先進国株式","4731B15C","インデックス型","2015/12/18","無期限","無期限","年1回","10/12","目論見書 運用報告書","外枠なし","追加型/海外/株式","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.20000%"
"JP90C000CZ57","たわらノーロード新興国株式","47311163","インデックス型","2016/03/14","無期限","無期限","年1回","10/12","目論見書 運用報告書","外枠なし","追加型/海外/株式","アセットマネジメントＯｎｅ","0.00%","外枠0.5％未満","0.34000%"
"JP90C000D1X7","ｅＭＡＸＩＳ最適化バランス（マイゴールキーパー）","03312163","インデックス型","2016/03/30","無期限","無期限","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.50000%"
"JP90C000D1Y5","ｅＭＡＸＩＳ最適化バランス（マイディフェンダー）","03313163","インデックス型","2016/03/30","無期限","無期限","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠0.5％未満","0.50000%"
