"code","fundcode","期間","騰落率","リスク（標準偏差）","シャープレシオ"
"JP90C00095F5","01314135","3年",40.18,17.46,0.74
"JP90C00095F5","01314135","5年",54.24,15.65,0.64
"JP90C00095F5","01314135","10年",NA,NA,NA
"JP90C0009ER8","03311138","6ヶ月",7.12,17.9,0.85
"JP90C0009ER8","03311138","1年",13.39,13.44,1
"JP90C0009ER8","03311138","3年",60.02,18.18,0.96
"JP90C0009ER8","03311138","5年",93.75,17.05,0.87
"JP90C0009ER8","03311138","10年",NA,NA,NA
"JP90C0009L03","01316139","6ヶ月",2.05,14.82,0.34
"JP90C0009L03","01316139","1年",6.51,11.69,0.6
"JP90C0009L03","01316139","3年",32.29,14.55,0.72
"JP90C0009L03","01316139","5年",39.92,12.76,0.6
"JP90C0009L03","01316139","10年",NA,NA,NA
"JP90C0009L37","01313139","6ヶ月",-5.96,10.43,-1.13
"JP90C0009L37","01313139","1年",-3.16,8.39,-0.34
"JP90C0009L37","01313139","3年",14.47,11.21,0.46
"JP90C0009L37","01313139","5年",21.9,9.49,0.47
"JP90C0009L37","01313139","10年",NA,NA,NA
"JP90C0009VE0","2931113C","6ヶ月",1.41,21.65,0.22
"JP90C0009VE0","2931113C","1年",12.7,16.67,0.8
"JP90C0009VE0","2931113C","3年",70.26,18.44,1.06
"JP90C0009VE0","2931113C","5年",90.44,17.21,0.84
"JP90C0009VE0","2931113C","10年",NA,NA,NA
"JP90C000A0B8","64313141","6ヶ月",0.29,12.57,0.1
"JP90C000A0B8","64313141","1年",1.15,11.41,0.15
"JP90C000A0B8","64313141","3年",35.8,15.32,0.74
"JP90C000A0B8","64313141","5年",35.73,14.9,0.49
"JP90C000A0B8","64313141","10年",NA,NA,NA
"JP90C000A808","01311143","6ヶ月",0.33,12.61,0.11
"JP90C000A808","01311143","1年",1.14,11.44,0.15
"JP90C000A808","01311143","3年",35.79,15.32,0.74
"JP90C000A808","01311143","5年",35.59,14.91,0.49
"JP90C000A808","01311143","10年",NA,NA,NA
"JP90C000A9Q7","03311144","6ヶ月",0.26,12.59,0.1
"JP90C000A9Q7","03311144","1年",1.02,11.41,0.14
"JP90C000A9Q7","03311144","3年",35.66,15.32,0.74
"JP90C000A9Q7","03311144","5年",35.35,14.91,0.48
"JP90C000A9Q7","03311144","10年",NA,NA,NA
"JP90C000ADD2","48311145","6ヶ月",-7.7,10.21,-1.51
"JP90C000ADD2","48311145","1年",-4.69,8.02,-0.56
"JP90C000ADD2","48311145","3年",15.46,9.28,0.57
"JP90C000ADD2","48311145","5年",18.67,8.73,0.44
"JP90C000ADD2","48311145","10年",NA,NA,NA
"JP90C000AYS6","3231114A","6ヶ月",0.5,20.55,0.13
"JP90C000AYS6","3231114A","1年",6.75,14.57,0.52
"JP90C000AYS6","3231114A","3年",51.01,17.17,0.89
"JP90C000AYS6","3231114A","5年",63.2,16.33,0.69
"JP90C000AYS6","3231114A","10年",NA,NA,NA
"JP90C000B9U8","29313151","6ヶ月",0.41,12.6,0.12
"JP90C000B9U8","29313151","1年",1.3,11.43,0.17
"JP90C000B9U8","29313151","3年",35.89,15.27,0.75
"JP90C000B9U8","29313151","5年",35.2,14.88,0.48
"JP90C000B9U8","29313151","10年",NA,NA,NA
"JP90C000BRT6","29312154","6ヶ月",0.54,12.05,0.14
"JP90C000BRT6","29312154","1年",1.65,10.99,0.2
"JP90C000BRT6","29312154","3年",35.06,14.99,0.75
"JP90C000BRT6","29312154","5年",35.63,14.72,0.49
"JP90C000BRT6","29312154","10年",NA,NA,NA
"JP90C000C7B1","29313158","6ヶ月",0.06,9.9,0.06
"JP90C000C7B1","29313158","1年",3.39,7.22,0.5
"JP90C000C7B1","29313158","3年",28.49,7.95,1.1
"JP90C000C7B1","29313158","5年",34.34,7.86,0.8
"JP90C000C7B1","29313158","10年",NA,NA,NA
"JP90C000C838","51313159","6ヶ月",-4.88,13.75,-0.67
"JP90C000C838","51313159","1年",-2.89,10.19,-0.24
"JP90C000C838","51313159","3年",18.22,13.79,0.48
"JP90C000C838","51313159","5年",21.68,11.94,0.39
"JP90C000C838","51313159","10年",NA,NA,NA
"JP90C000C8G8","03316158","6ヶ月",0.01,9.89,0.05
"JP90C000C8G8","03316158","1年",3.16,7.21,0.47
"JP90C000C8G8","03316158","3年",26.43,8.05,1.02
"JP90C000C8G8","03316158","5年",31.66,7.92,0.74
"JP90C000C8G8","03316158","10年",NA,NA,NA
"JP90C000CG01","9731415C","6ヶ月",2.52,14.16,0.41
"JP90C000CG01","9731415C","1年",7.41,10.67,0.72
"JP90C000CG01","9731415C","3年",40.02,11.95,1
"JP90C000CG01","9731415C","5年",47.87,11.23,0.76
"JP90C000CG01","9731415C","10年",NA,NA,NA
"JP90C000CJS3","3231315C","6ヶ月",-1.5,16.34,-0.12
"JP90C000CJS3","3231315C","1年",3.52,11.64,0.35
"JP90C000CJS3","3231315C","3年",37.94,13.84,0.85
"JP90C000CJS3","3231315C","5年",47.34,13.17,0.66
"JP90C000CJS3","3231315C","10年",NA,NA,NA
"JP90C000CMF4","4731815C","6ヶ月",-0.96,15.72,-0.06
"JP90C000CMF4","4731815C","1年",-3.9,14.25,-0.21
"JP90C000CMF4","4731815C","3年",39.25,17.15,0.73
"JP90C000CMF4","4731815C","5年",51.02,16.55,0.58
"JP90C000CMF4","4731815C","10年",NA,NA,NA
"JP90C000CMK4","4731B15C","6ヶ月",1.44,21.7,0.22
"JP90C000CMK4","4731B15C","1年",12.75,16.7,0.8
"JP90C000CMK4","4731B15C","3年",70.21,18.47,1.06
"JP90C000CMK4","4731B15C","5年",90.37,17.24,0.84
"JP90C000CMK4","4731B15C","10年",NA,NA,NA
"JP90C000CZ57","47311163","6ヶ月",-1.5,10.68,-0.24
"JP90C000CZ57","47311163","1年",-7.63,11.74,-0.62
"JP90C000CZ57","47311163","3年",28.04,19.88,0.52
"JP90C000CZ57","47311163","5年",27.82,18.64,0.36
"JP90C000CZ57","47311163","10年",NA,NA,NA
"JP90C000D1X7","03312163","6ヶ月",-0.75,5.84,-0.23
"JP90C000D1X7","03312163","1年",0.83,4.31,0.22
"JP90C000D1X7","03312163","3年",11.28,4.23,0.87
"JP90C000D1X7","03312163","5年",14.88,3.96,0.73
"JP90C000D1X7","03312163","10年",NA,NA,NA
"JP90C000D1Y5","03313163","6ヶ月",-0.02,8.4,0.03
"JP90C000D1Y5","03313163","1年",2.12,6.22,0.37
"JP90C000D1Y5","03313163","3年",19.42,7.37,0.85
"JP90C000D1Y5","03313163","5年",24.3,6.74,0.69
"JP90C000D1Y5","03313163","10年",NA,NA,NA
"JP90C000D1Z2","03314163","6ヶ月",0.63,10.57,0.16
"JP90C000D1Z2","03314163","1年",3.19,7.93,0.44
"JP90C000D1Z2","03314163","3年",26.42,10.32,0.81
"JP90C000D1Z2","03314163","5年",32.58,9.38,0.65
"JP90C000D1Z2","03314163","10年",NA,NA,NA
"JP90C000D208","03315163","6ヶ月",1.37,13.78,0.26
"JP90C000D208","03315163","1年",4.66,10.39,0.49
"JP90C000D208","03315163","3年",36.43,13.93,0.82
"JP90C000D208","03315163","5年",43.96,12.64,0.65
"JP90C000D208","03315163","10年",NA,NA,NA
"JP90C000D216","03316163","6ヶ月",0.61,14.31,0.15
"JP90C000D216","03316163","1年",2.88,11.13,0.31
"JP90C000D216","03316163","3年",43.39,15.41,0.86
"JP90C000D216","03316163","5年",48.67,14.73,0.62
"JP90C000D216","03316163","10年",NA,NA,NA
